x,y,b,r
2089.0,635.0,34.44,2.8284271247461903
1823.0,317.0,34.16,2.8284271247461903
416.0,927.0,34.56,2.8284271247461903
114.0,1137.0,36.96,2.8284271247461903
1226.0,1182.0,34.32,2.8284271247461903
976.0,322.0,33.68,2.8284271247461903
1506.0,244.0,33.92,2.8284271247461903
1755.0,1156.0,34.44,2.8284271247461903
384.0,648.0,33.88,2.8284271247461903
1009.0,970.0,34.2,2.8284271247461903
1950.0,900.0,33.76,2.8284271247461903
797.0,582.0,34.16,2.8284271247461903
1456.0,131.0,34.28,2.8284271247461903
197.0,221.0,34.0,2.8284271247461903
920.0,1045.0,33.8,2.8284271247461903
1346.0,227.0,33.96,2.8284271247461903
1106.0,433.0,33.84,2.8284271247461903
523.0,260.0,33.76,2.8284271247461903
1064.0,906.0,33.72,2.8284271247461903
437.0,504.0,33.76,2.8284271247461903
1713.0,873.0,34.12,2.8284271247461903
1854.0,355.0,34.4,2.8284271247461903
50.0,1174.0,36.32,2.8284271247461903
581.0,74.0,35.96,2.8284271247461903
1047.0,960.0,33.32,2.8284271247461903
1110.0,141.0,33.56,2.8284271247461903
492.0,658.0,33.48,2.8284271247461903
339.0,902.0,34.6,2.8284271247461903
1091.0,362.0,33.56,2.8284271247461903
1289.0,1126.0,33.52,2.8284271247461903
1048.0,143.0,33.36,2.8284271247461903
985.0,891.0,33.16,2.8284271247461903
458.0,88.0,33.04,2.8284271247461903
1571.0,343.0,32.72,2.8284271247461903
501.0,70.0,33.44,2.8284271247461903
1513.0,1198.0,33.24,2.8284271247461903
104.0,904.0,36.72,2.8284271247461903
126.0,785.0,35.48,2.8284271247461903
801.0,219.0,33.4,2.8284271247461903
1650.0,328.0,33.4,2.8284271247461903
1123.0,866.0,33.32,2.8284271247461903
79.0,929.0,36.4,2.8284271247461903
1943.0,640.0,33.32,2.8284271247461903
21.0,166.0,35.36,2.8284271247461903
19.0,368.0,35.32,2.8284271247461903
361.0,1155.0,34.08,2.8284271247461903
69.0,137.0,35.2,2.8284271247461903
824.0,559.0,32.88,2.8284271247461903
57.0,108.0,35.28,2.8284271247461903
336.0,306.0,33.2,2.8284271247461903
930.0,292.0,33.16,2.8284271247461903
1106.0,1053.0,32.76,2.8284271247461903
1739.0,747.0,32.4,2.8284271247461903
254.0,974.0,34.2,2.8284271247461903
2082.0,1134.0,33.0,2.8284271247461903
788.0,978.0,32.68,2.8284271247461903
933.0,946.0,33.48,2.8284271247461903
875.0,24.0,32.72,2.8284271247461903
47.0,797.0,34.92,2.8284271247461903
1653.0,852.0,32.72,2.8284271247461903
464.0,264.0,32.92,2.8284271247461903
276.0,404.0,32.84,2.8284271247461903
52.0,685.0,35.0,2.8284271247461903
382.0,505.0,32.48,2.8284271247461903
1254.0,996.0,32.76,2.8284271247461903
1166.0,1088.0,32.68,2.8284271247461903
224.0,985.0,34.56,2.8284271247461903
747.0,128.0,32.48,2.8284271247461903
1931.0,384.0,34.16,2.8284271247461903
1538.0,555.0,32.68,2.8284271247461903
5.0,278.0,34.52,2.8284271247461903
601.0,693.0,32.64,2.8284271247461903
1491.0,403.0,32.64,2.8284271247461903
1789.0,948.0,32.6,2.8284271247461903
93.0,184.0,34.56,2.8284271247461903
410.0,158.0,32.48,2.8284271247461903
1106.0,504.0,32.08,2.8284271247461903
694.0,1032.0,32.4,2.8284271247461903
1478.0,863.0,31.84,2.8284271247461903
679.0,439.0,32.44,2.8284271247461903
